timeBin,Bin Start Time,Bin End Time,"Total, GB/sec:Self"
0,0.000,0.120,1.855
1,0.120,0.239,1.540
2,0.239,0.359,1.433
3,0.359,0.479,1.551
4,0.479,0.598,1.720
5,0.598,0.718,1.484
6,0.718,0.838,1.686
7,0.838,0.957,1.732
8,0.957,1.077,1.578
9,1.077,1.197,1.711
10,1.197,1.316,1.694
11,1.316,1.436,1.722
12,1.436,1.556,1.153
13,1.556,1.675,0.262
14,1.675,1.795,0.316
15,1.795,1.914,0.191
16,1.914,2.034,0.215
17,2.034,2.154,0.270
18,2.154,2.273,0.266
19,2.273,2.393,0.305
20,2.393,2.513,0.368
21,2.513,2.632,0.747
22,2.632,2.752,0.376
23,2.752,2.872,0.258
24,2.872,2.991,0.501
25,2.991,3.111,0.366
26,3.111,3.231,0.365
27,3.231,3.350,0.428
28,3.350,3.470,0.323
29,3.470,3.590,0.768
30,3.590,3.709,0.525
31,3.709,3.829,1.039
32,3.829,3.949,1.494
33,3.949,4.068,1.043
34,4.068,4.188,1.825
35,4.188,4.308,0.729
36,4.308,4.427,1.084
37,4.427,4.547,0.967
38,4.547,4.667,0.602
39,4.667,4.786,0.335
40,4.786,4.906,0.460
41,4.906,5.025,0.416
42,5.025,5.145,0.574
43,5.145,5.265,0.640
44,5.265,5.384,0.844
45,5.384,5.504,0.759
46,5.504,5.624,0.567
47,5.624,5.743,0.627
48,5.743,5.863,0.734
49,5.863,5.983,0.706
50,5.983,6.102,0.404
51,6.102,6.222,0.384
52,6.222,6.342,0.546
53,6.342,6.461,0.999
54,6.461,6.581,0.636
55,6.581,6.701,0.284
56,6.701,6.820,0.206
57,6.820,6.940,0.364
58,6.940,7.060,0.390
59,7.060,7.179,0.418
60,7.179,7.299,0.352
61,7.299,7.419,0.947
62,7.419,7.538,1.541
63,7.538,7.658,0.295
64,7.658,7.778,0.702
65,7.778,7.897,1.210
66,7.897,8.017,2.777
67,8.017,8.136,1.005
68,8.136,8.256,1.020
69,8.256,8.376,0.998
70,8.376,8.495,1.217
71,8.495,8.615,0.909
72,8.615,8.735,0.905
73,8.735,8.854,0.999
74,8.854,8.974,0.694
75,8.974,9.094,0.539
76,9.094,9.213,0.811
77,9.213,9.333,2.711
78,9.333,9.453,2.671
79,9.453,9.572,2.818
80,9.572,9.692,2.917
81,9.692,9.812,3.821
82,9.812,9.931,4.343
83,9.931,10.051,9.723
84,10.051,10.171,14.534
85,10.171,10.290,14.432
86,10.290,10.410,12.662
87,10.410,10.530,15.129
88,10.530,10.649,14.573
89,10.649,10.769,14.845
90,10.769,10.889,13.281
91,10.889,11.008,10.752
92,11.008,11.128,13.129
93,11.128,11.247,14.136
94,11.247,11.367,14.640
95,11.367,11.487,12.307
96,11.487,11.606,12.091
97,11.606,11.726,9.371
98,11.726,11.846,7.270
99,11.846,11.965,8.376
100,11.965,12.085,13.633
101,12.085,12.205,14.340
102,12.205,12.324,14.403
103,12.324,12.444,11.908
104,12.444,12.564,9.724
105,12.564,12.683,8.152
106,12.683,12.803,9.331
107,12.803,12.923,14.916
108,12.923,13.042,14.898
109,13.042,13.162,13.541
110,13.162,13.282,11.734
111,13.282,13.401,7.979
112,13.401,13.521,7.926
113,13.521,13.641,10.061
114,13.641,13.760,14.592
115,13.760,13.880,12.513
116,13.880,14.000,12.434
117,14.000,14.119,13.359
118,14.119,14.239,13.893
119,14.239,14.358,10.659
120,14.358,14.478,8.534
121,14.478,14.598,8.272
122,14.598,14.717,11.179
123,14.717,14.837,14.456
124,14.837,14.957,14.438
125,14.957,15.076,14.322
126,15.076,15.196,13.155
127,15.196,15.316,9.008
128,15.316,15.435,9.033
129,15.435,15.555,11.272
130,15.555,15.675,14.331
131,15.675,15.794,14.287
132,15.794,15.914,13.619
133,15.914,16.034,15.104
134,16.034,16.153,8.920
135,16.153,16.273,8.917
136,16.273,16.393,9.701
137,16.393,16.512,14.487
138,16.512,16.632,14.582
139,16.632,16.752,10.652
140,16.752,16.871,6.261
141,16.871,16.991,7.876
142,16.991,17.111,6.639
143,17.111,17.230,9.720
144,17.230,17.350,7.403
145,17.350,17.469,7.643
146,17.469,17.589,6.677
147,17.589,17.709,9.088
148,17.709,17.828,9.929
149,17.828,17.948,9.517
150,17.948,18.068,8.032
151,18.068,18.187,7.438
152,18.187,18.307,7.557
153,18.307,18.427,8.255
154,18.427,18.546,9.030
155,18.546,18.666,7.473
156,18.666,18.786,7.670
157,18.786,18.905,8.493
158,18.905,19.025,10.673
159,19.025,19.145,10.507
160,19.145,19.264,10.231
161,19.264,19.384,10.112
162,19.384,19.504,8.391
163,19.504,19.623,4.535
164,19.623,19.743,3.267
165,19.743,19.863,3.017
166,19.863,19.982,2.917
167,19.982,20.102,2.888
168,20.102,20.222,2.860
169,20.222,20.341,4.851
170,20.341,20.461,15.063
171,20.461,20.580,11.470
172,20.580,20.700,8.943
173,20.700,20.820,9.877
174,20.820,20.939,3.703
175,20.939,21.059,2.796
176,21.059,21.179,2.800
177,21.179,21.298,2.808
178,21.298,21.418,2.775
179,21.418,21.538,2.709
180,21.538,21.657,2.848
181,21.657,21.777,2.779
182,21.777,21.897,2.849
183,21.897,22.016,2.740
184,22.016,22.136,2.773
185,22.136,22.256,2.782
186,22.256,22.375,2.748
187,22.375,22.495,2.767
188,22.495,22.615,2.812
189,22.615,22.734,2.719
190,22.734,22.854,2.745
191,22.854,22.974,2.709
192,22.974,23.093,2.738
193,23.093,23.213,4.079
194,23.213,23.333,5.133
195,23.333,23.452,5.866
196,23.452,23.572,10.942
197,23.572,23.691,11.649
198,23.691,23.811,15.441
199,23.811,23.931,13.168
200,23.931,24.050,10.183
201,24.050,24.170,11.854
202,24.170,24.290,13.295
203,24.290,24.409,14.449
204,24.409,24.529,13.860
205,24.529,24.649,14.492
206,24.649,24.768,12.084
207,24.768,24.888,9.502
208,24.888,25.008,9.276
209,25.008,25.127,12.713
210,25.127,25.247,13.980
211,25.247,25.367,14.137
212,25.367,25.486,13.824
213,25.486,25.606,14.451
214,25.606,25.726,12.182
215,25.726,25.845,9.504
216,25.845,25.965,7.874
217,25.965,26.085,11.309
218,26.085,26.204,12.783
219,26.204,26.324,14.554
220,26.324,26.444,12.905
221,26.444,26.563,15.007
222,26.563,26.683,14.079
223,26.683,26.802,11.929
224,26.802,26.922,10.575
225,26.922,27.042,8.581
226,27.042,27.161,13.011
227,27.161,27.281,13.076
228,27.281,27.401,13.648
229,27.401,27.520,12.802
230,27.520,27.640,14.334
231,27.640,27.760,13.460
232,27.760,27.879,12.822
233,27.879,27.999,9.482
234,27.999,28.119,8.561
235,28.119,28.238,11.843
236,28.238,28.358,13.321
237,28.358,28.478,14.500
238,28.478,28.597,14.148
239,28.597,28.717,13.384
240,28.717,28.837,17.203
241,28.837,28.956,15.304
242,28.956,29.076,12.269
243,29.076,29.196,12.787
244,29.196,29.315,9.837
245,29.315,29.435,12.921
246,29.435,29.555,13.210
247,29.555,29.674,14.364
248,29.674,29.794,12.500
249,29.794,29.913,10.987
250,29.913,30.033,9.910
251,30.033,30.153,9.294
252,30.153,30.272,11.070
253,30.272,30.392,12.908
254,30.392,30.512,14.250
255,30.512,30.631,12.239
256,30.631,30.751,11.452
257,30.751,30.871,10.010
258,30.871,30.990,10.064
259,30.990,31.110,8.449
260,31.110,31.230,6.600
261,31.230,31.349,12.262
262,31.349,31.469,12.680
263,31.469,31.589,13.455
264,31.589,31.708,13.374
265,31.708,31.828,9.714
266,31.828,31.948,11.137
267,31.948,32.067,10.792
268,32.067,32.187,9.354
269,32.187,32.307,8.249
270,32.307,32.426,7.956
271,32.426,32.546,8.558
272,32.546,32.666,7.954
273,32.666,32.785,8.812
274,32.785,32.905,7.559
275,32.905,33.024,7.554
276,33.024,33.144,8.576
277,33.144,33.264,10.621
278,33.264,33.383,9.023
279,33.383,33.503,7.604
280,33.503,33.623,7.529
281,33.623,33.742,8.278
282,33.742,33.862,8.385
283,33.862,33.982,7.501
284,33.982,34.101,7.677
285,34.101,34.221,9.094
286,34.221,34.341,10.717
287,34.341,34.460,10.820
288,34.460,34.580,10.307
289,34.580,34.700,9.456
290,34.700,34.819,5.601
291,34.819,34.939,4.237
292,34.939,35.059,3.788
293,35.059,35.178,3.782
294,35.178,35.298,3.724
295,35.298,35.418,3.712
296,35.418,35.537,3.776
297,35.537,35.657,3.718
298,35.657,35.777,3.803
299,35.777,35.896,3.747
300,35.896,36.016,3.687
301,36.016,36.135,3.724
302,36.135,36.255,3.772
303,36.255,36.375,3.823
304,36.375,36.494,3.834
305,36.494,36.614,3.716
306,36.614,36.734,3.762
307,36.734,36.853,3.740
308,36.853,36.973,3.839
309,36.973,37.093,6.898
310,37.093,37.212,11.391
311,37.212,37.332,5.996
312,37.332,37.452,4.249
313,37.452,37.571,4.270
314,37.571,37.691,4.634
315,37.691,37.811,4.758
316,37.811,37.930,4.768
317,37.930,38.050,4.288
318,38.050,38.170,4.031
319,38.170,38.289,3.230
320,38.289,38.409,1.165
321,38.409,38.529,0.149
322,38.529,38.648,0.128
323,38.648,38.768,0.252
324,38.768,38.888,0.041
325,38.888,39.007,0.062
326,39.007,39.127,0.136
327,39.127,39.246,0.116
328,39.246,39.366,0.128
329,39.366,39.486,0.085
330,39.486,39.605,0.116
331,39.605,39.725,0.086
332,39.725,39.845,0.112
333,39.845,39.964,0.163
334,39.964,40.084,0.046
335,40.084,40.204,0.076
336,40.204,40.323,0.110
337,40.323,40.443,0.125
338,40.443,40.563,0.098
339,40.563,40.682,0.096
340,40.682,40.802,0.046
341,40.802,40.922,0.106
342,40.922,41.041,0.081
343,41.041,41.161,0.085
344,41.161,41.281,0.777
345,41.281,41.400,0.712
346,41.400,41.520,1.665
347,41.520,41.640,3.904
348,41.640,41.759,3.467
349,41.759,41.879,3.377
350,41.879,41.999,4.392
351,41.999,42.118,4.906
352,42.118,42.238,5.531
353,42.238,42.357,4.328
354,42.357,42.477,3.974
355,42.477,42.597,8.825
356,42.597,42.716,12.075
357,42.716,42.836,11.589
358,42.836,42.956,8.309
359,42.956,43.075,5.338
360,43.075,43.195,3.933
361,43.195,43.315,3.864
362,43.315,43.434,4.012
363,43.434,43.554,4.355
364,43.554,43.674,9.171
365,43.674,43.793,5.438
366,43.793,43.913,4.395
367,43.913,44.033,3.736
368,44.033,44.152,3.793
369,44.152,44.272,3.906
370,44.272,44.392,3.888
371,44.392,44.511,4.092
372,44.511,44.631,4.055
373,44.631,44.751,5.430
374,44.751,44.870,12.097
375,44.870,44.990,11.285
376,44.990,45.110,8.971
377,45.110,45.229,8.962
378,45.229,45.349,8.896
379,45.349,45.468,8.527
380,45.468,45.588,8.074
381,45.588,45.708,7.931
382,45.708,45.827,5.371
383,45.827,45.947,5.184
384,45.947,46.067,0.694
385,46.067,46.186,6.862
386,46.186,46.306,7.369
387,46.306,46.426,6.739
388,46.426,46.545,6.733
389,46.545,46.665,5.261
390,46.665,46.785,0.597
391,46.785,46.904,0.431
392,46.904,47.024,0.416
393,47.024,47.144,0.460
394,47.144,47.263,0.448
395,47.263,47.383,1.297
396,47.383,47.503,0.565
397,47.503,47.622,0.389
398,47.622,47.742,1.086
399,47.742,47.862,2.697
400,47.862,47.981,3.666
401,47.981,48.101,9.077
402,48.101,48.221,9.612
403,48.221,48.340,5.090
404,48.340,48.460,3.439
405,48.460,48.579,4.112
406,48.579,48.699,4.806
407,48.699,48.819,3.730
408,48.819,48.938,3.776
409,48.938,49.058,3.731
410,49.058,49.178,3.813
411,49.178,49.297,3.825
412,49.297,49.417,3.813
413,49.417,49.537,3.839
414,49.537,49.656,3.923
415,49.656,49.776,11.888
416,49.776,49.896,12.450
417,49.896,50.015,12.408
418,50.015,50.135,10.932
419,50.135,50.255,3.906
420,50.255,50.374,6.314
421,50.374,50.494,9.915
422,50.494,50.614,12.223
423,50.614,50.733,12.878
424,50.733,50.853,12.575
