# binarytree	fankuchredux	knucleotide	mandelbrot	nbody	spectralnorm	nsieve	random	fibo	ackermann	pidigits
ADD	5.27	8.97	21.99	38.28	13.16	18.73	1.45	5.56	8.28	8.32	15.47
SUB	7.84	7.04	0.00	9.84	11.28	12.49	0.00	0.00	16.55	16.67	7.45
MUL	0.00	0.66	0.00	28.58	27.26	18.73	0.00	11.11	0.00	0.00	9.45
GETTABLE	15.76	21.37	10.98	0.00	22.56	6.24	9.09	0.00	0.04	0.00	15.47
SETTABLE	0.00	19.97	11.01	0.00	11.28	0.01	34.20	0.00	0.00	0.00	9.50
MOVE	18.46	4.44	33.05	0.54	1.69	12.50	1.45	11.11	0.00	8.32	0.77
FORLOOP	0.02	7.17	10.98	10.05	4.14	6.27	44.01	5.56	0.00	0.00	9.49
CALL	10.54	0.00	11.04	0.10	2.07	6.24	0.00	5.56	16.66	8.32	0.11
GETUPVAL	10.45	0.00	0.00	0.00	1.88	6.24	0.00	33.33	0.00	0.00	0.28
RETURN	10.54	0.00	0.35	0.00	0.19	6.24	0.00	5.56	16.63	8.32	0.10
OTHERS	21.12	30.38	0.59	12.63	4.51	6.29	9.81	22.22	41.85	50.05	31.91
