1~64	65~128	128~256	257~512	513~
429.mcf	147	28	9	18	140911
470.lbm	1293	432	6	0	103145
458.sjeng	166	25	523	32	44122
410.bwaves	995	302	32	1336	116242
459.GemsFDTD	1868	228	44	3698	154724
433.milc	195	23	735	123	22664
434.zeusmp	841	2799	203	124	36515
445.gobmk	342	123	147	161	6199
447.dealII	775	243	2027	3073	27511
465.tonto	862	114	1744	1270	8610
436.cactusADM	3340	7037	6023	36	31623
464.h264ref	2230	62	257	1320	5296
481.wrf	8807	2152	1769	1042	16932
437.leslie3d	1208	2614	857	0	4960
435.gromacs	1616	415	54	85	1856
482.sphinx3	2235	2876	95	172	4558
400.perlbench	786	1690	1248	6136	7763
401.bzip2	36721	220	160	41	28174
450.soplex	3162	1618	737	173	3901
403.gcc	2484	777	1007	1735	1853
444.namd	1484	2856	4128	1086	2323
483.xalancbmk	615	4795	37846	3906	8587
471.omnetpp	697	4319	5939	1494	111
454.calculix	2148	3260	3482	6492	53
473.astar	5128	2588	1380	305	0
416.gamess	1504	2	0	0	0
453.povray	1248	0	0	0	0
456.hmmer	1230	0	0	0	0
462.libquantum	840	0	0	0	0
avg	84967	41598	70452	33858	778633
