metric	power	core	freq
# monitoring
37	29.97329179960787	4	2.401
36	30.636156919583556	4	2.401
39	31.523974977583773	4	2.401
37	28.83577097764078	4	2.401
38	27.473737350738382	4	2.401
37	31.277501083602257	4	2.401
37	29.225602410386017	4	2.401
37	28.613759380346018	4	2.401
37	30.72666438532989	4	2.401
36	32.84018057820099	4	2.401
38	31.408262407946395	4	2.401
36	29.720316681038227	4	2.401
37	28.49299714061168	4	2.401
37	30.022401021311524	4	2.401
38	27.810393304137836	4	2.401
37	27.982153930143035	4	2.401
37	30.33133417850009	4	2.401
37	30.29162839385013	4	2.401
37	33.38627404407951	4	2.401
38	28.625695227849842	4	2.401
37	31.242858774985198	4	2.401
38	28.27919886601811	4	2.401
38	31.639471721525748	4	2.401
36	28.555684609741007	4	2.401
37	28.80721792240666	4	2.401
38	27.931064134113374	4	2.401
36	30.054127391854987	4	2.401
38	28.659524926721524	4	2.401
36	27.69958152897365	4	2.401
37	33.05838065969253	4	2.401
36	28.19136667116397	4	2.401
37	31.911270291338344	4	2.401
38	32.8851495155209	4	2.401
37	29.37798147424068	4	2.401
37	28.318328502978922	4	2.401
37	29.898607637677358	4	2.401
37	27.699065312232396	4	2.401
37	29.41851977051469	4	2.401
37	26.905593174433548	4	2.401
36	29.942161614232084	4	2.401
37	30.352656141676523	4	2.401
36	27.040570496227378	4	2.401
38	32.47136817676248	4	2.401
37	31.208942203710585	4	2.401
37	29.987739877991903	4	2.401
38	31.202791479642894	4	2.401
37	28.29946286215979	4	2.401
36	29.421533597542144	4	2.401
37	32.92131229330359	4	2.401
38	31.986690982409797	4	2.401
37	28.14354496928986	4	2.401
38	26.262279920533558	4	2.401
38	27.7668335089338	4	2.401
37	31.64417391639193	4	2.401
37	30.893836083703167	4	2.401
38	32.71586519786137	4	2.401
37	29.042864011268154	4	2.401
36	28.340165053164345	4	2.401
37	31.430194809237108	4	2.401
37	28.222640462962733	4	2.401
37	28.311562465942934	4	2.401
38	32.38729067263301	4	2.401
37	28.78453641950309	4	2.401
38	28.739161756748093	4	2.401
37	27.569780926539337	4	2.401
38	26.88700013391078	4	2.401
38	31.311189799032505	4	2.401
38	28.609524013719604	4	2.401
37	30.89664958472092	4	2.401
37	33.4479187258998	4	2.401
38	28.450218606836568	4	2.401
38	31.221359960491558	4	2.401
37	32.450491556803364	4	2.401
37	29.2077524255704	4	2.401
37	27.95211103100608	4	2.401
37	30.36878127729897	4	2.401
37	27.223913614428625	4	2.401
38	26.149694430353446	4	2.401
37	31.1104198979395	4	2.401
37	28.734738851862378	4	2.401
